年月日,口座,商品名,アセット,価格,備考
2021-06-14,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2021-07-13,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2021-07-13,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2021-08-12,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2021-08-12,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2021-09-14,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2021-09-14,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2021-10-13,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2021-10-13,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2021-11-15,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2021-11-15,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2021-12-14,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2021-12-14,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2021-12-17,,eMAXIS Slim 米国株式（S&P500）,米国株式,5000000,
2022-01-12,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2022-01-12,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2022-02-15,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2022-02-15,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2022-03-02,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2022-03-02,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2022-04-04,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2022-04-04,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2022-05-09,つみたてNISA,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,33333,
2022-05-09,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,166667,
2022-06-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2022-07-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2022-08-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2022-09-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2022-10-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2022-11-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2022-12-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2023-01-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2023-02-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2023-03-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2023-04-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2023-05-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2023-06-01,,eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
