年月日,口座,商品名,アセット,価格,備考
2024-03-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-03-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-03-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-03-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-04-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-04-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-04-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-04-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-05-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-05-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-05-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-05-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-06-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-06-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-06-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-06-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-07-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-07-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-07-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-07-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-08-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-08-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-08-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-08-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-09-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-09-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-09-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-09-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-10-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-10-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-10-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-10-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-11-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-11-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-11-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-11-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2024-12-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2024-12-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-12-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2024-12-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-01-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-01-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-01-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-01-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-02-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-02-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-02-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-02-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-03-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-03-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-03-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-03-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-04-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-04-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-04-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-04-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-05-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-05-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-05-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-05-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-06-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-06-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-06-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-06-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-07-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-07-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-07-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-07-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-08-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-08-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-08-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-08-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-09-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-09-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-09-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-09-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-10-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-10-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-10-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-10-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-11-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-11-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-11-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-11-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2025-12-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2025-12-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-12-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2025-12-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-01-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-01-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-01-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-01-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-02-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-02-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-02-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-02-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-03-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-03-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-03-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-03-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-04-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-04-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-04-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-04-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-05-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-05-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-05-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-05-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-06-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-06-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-06-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-06-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-07-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-07-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-07-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-07-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-08-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-08-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-08-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-08-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-09-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-09-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-09-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-09-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-10-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-10-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-10-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-10-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-11-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-11-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-11-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-11-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2026-12-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2026-12-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-12-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2026-12-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2027-01-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2027-01-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-01-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-01-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2027-02-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2027-02-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-02-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-02-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2027-03-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2027-03-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-03-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-03-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2027-04-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2027-04-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-04-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-04-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2027-05-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2027-05-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-05-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-05-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2027-06-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2027-06-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-06-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-06-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
2027-07-01,NISA(成長),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,200000,
2027-07-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-07-01,NISA(つみたて),eMAXIS Slim 全世界株式（オール・カントリー）,全世界株式,50000,
2027-07-15,iDeco,ＳＢＩ・全世界株式インデックス・ファンド,全世界株式,9829,
